CountyFull,State,County,1971,1977,1983,1985,1989,1994,2000,StateX,StateY,CountyX,CountyY,countyfull2,trimmed
Alachua  FL,FL,Alachua ,0,0,0,0,0,0,1,-79.1308975,35.526001,-82.3576965,-82.3576965,"Alachua, FL",Alachua
Baker  FL,FL,Baker ,0,0,0,0,0,0,1,-79.1308975,35.526001,-82.2845993,-82.2845993,"Baker, FL",Baker
Bradford  FL,FL,Bradford ,0,0,0,0,0,0,1,-79.1308975,35.526001,-82.1688004,-82.1688004,"Bradford, FL",Bradford
Brevard  FL,FL,Brevard ,0,1,0,1,1,0,1,-79.1308975,35.526001,-80.7012024,-80.7012024,"Brevard, FL",Brevard
Broward  FL,FL,Broward ,1,1,0,1,1,0,1,-79.1308975,35.526001,-80.4559021,-80.4559021,"Broward, FL",Broward
Bryan  GA,GA,Bryan ,0,1,0,0,0,0,0,-86.8444977,32.7569008,-81.4424973,-81.4424973,"Bryan, GA",Bryan
Camden  GA,GA,Camden ,0,1,0,0,0,0,0,-86.8444977,32.7569008,-81.6363983,-81.6363983,"Camden, GA",Camden
Charlevoix  MI,MI,Charlevoix ,0,0,0,0,0,1,0,,,,,"Charlevoix, MI",Charlevoix
Charlotte  FL,FL,Charlotte ,0,1,0,1,1,0,1,-79.1308975,35.526001,-81.9503021,-81.9503021,"Charlotte, FL",Charlotte
Chatham  GA,GA,Chatham ,0,1,0,0,0,0,0,-86.8444977,32.7569008,-81.0940018,-81.0940018,"Chatham, GA",Chatham
Cheboygan  MI,MI,Cheboygan ,0,0,0,0,0,1,0,,,,,"Cheboygan, MI",Cheboygan
Chippewa  MI,MI,Chippewa ,0,0,0,0,0,1,0,,,,,"Chippewa, MI",Chippewa
Citrus  FL,FL,Citrus ,0,1,0,0,1,0,1,-79.1308975,35.526001,-82.5201035,-82.5201035,"Citrus, FL",Citrus
Clay  FL,FL,Clay ,0,0,0,0,0,0,1,-79.1308975,35.526001,-81.8579025,-81.8579025,"Clay, FL",Clay
Collier  FL,FL,Collier ,1,1,0,1,1,0,1,-79.1308975,35.526001,-81.3809967,-81.3809967,"Collier, FL",Collier
Columbia  FL,FL,Columbia ,0,0,0,0,0,0,1,-79.1308975,35.526001,-82.6214981,-82.6214981,"Columbia, FL",Columbia
Dade  FL,FL,Dade ,1,1,0,1,1,0,1,-79.1308975,35.526001,,,"Dade, FL",Dade
Delta  MI,MI,Delta ,0,0,0,0,0,1,0,,,,,"Delta, MI",Delta
DeSoto  FL,FL,DeSoto ,0,1,0,1,1,0,1,-79.1308975,35.526001,-81.8094025,-81.8094025,"DeSoto, FL",DeSoto
Dixie  FL,FL,Dixie ,0,0,0,0,0,0,1,-79.1308975,35.526001,-83.1869965,-83.1869965,"Dixie, FL",Dixie
Duval  FL,FL,Duval ,0,0,0,0,0,0,1,-79.1308975,35.526001,-81.6480026,-81.6480026,"Duval, FL",Duval
Flagler  FL,FL,Flagler ,0,1,0,0,0,0,1,-79.1308975,35.526001,-81.2929993,-81.2929993,"Flagler, FL",Flagler
Gilchrist  FL,FL,Gilchrist ,0,0,0,0,0,0,1,-79.1308975,35.526001,-82.8003998,-82.8003998,"Gilchrist, FL",Gilchrist
Glades  FL,FL,Glades ,0,1,0,0,1,0,1,-79.1308975,35.526001,-81.189003,-81.189003,"Glades, FL",Glades
Glynn  GA,GA,Glynn ,0,1,0,0,0,0,0,-86.8444977,32.7569008,-81.4936981,-81.4936981,"Glynn, GA",Glynn
Gogebic  MI,MI,Gogebic ,0,0,0,0,0,1,0,,,,,"Gogebic, MI",Gogebic
