CountyFull,State,County,1972,1977,1978,1993,1994,1996,1999,2000,2004,2015,StateX,StateY,CountyX,CountyY,countyfull2,trimmed
Adair  KY,KY,Adair ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-85.2806015,-85.2806015,"Adair, KY",Adair
Alamance  NC,NC,Alamance ,0,1,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-79.3993988,-79.3993988,"Alamance, NC",Alamance
Alcona  MI,MI,Alcona ,0,0,1,0,0,0,1,0,0,0,,,,,"Alcona, MI",Alcona
Alexander  NC,NC,Alexander ,0,0,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-81.177002,-81.177002,"Alexander, NC",Alexander
Alger  MI,MI,Alger ,0,0,1,0,0,0,0,0,0,0,,,,,"Alger, MI",Alger
Allegan  MI,MI,Allegan ,1,1,1,0,0,0,1,1,0,0,,,,,"Allegan, MI",Allegan
Alleghany  NC,NC,Alleghany ,0,0,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-81.1278992,-81.1278992,"Alleghany, NC",Alleghany
Allen  KY,KY,Allen ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-86.1903992,-86.1903992,"Allen, KY",Allen
Alpena  MI,MI,Alpena ,0,0,1,0,0,0,0,0,0,0,,,,,"Alpena, MI",Alpena
Anderson  KY,KY,Anderson ,0,0,0,0,1,1,0,0,0,1,-89.6533966,32.7128983,-84.9909973,-84.9909973,"Anderson, KY",Anderson
Anderson  TN,TN,Anderson ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-84.1985016,-84.1985016,"Anderson, TN",Anderson
Antrim  MI,MI,Antrim ,0,0,1,0,0,0,0,0,0,0,,,,,"Antrim, MI",Antrim
Appling  GA,GA,Appling ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-82.2890015,-82.2890015,"Appling, GA",Appling
Arenac  MI,MI,Arenac ,0,0,1,0,0,0,1,0,0,0,,,,,"Arenac, MI",Arenac
Ashe  NC,NC,Ashe ,0,0,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-81.5005035,-81.5005035,"Ashe, NC",Ashe
Autauga  AL,AL,Autauga ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.6427002,-86.6427002,"Autauga, AL",Autauga
Avery  NC,NC,Avery ,0,0,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-81.9225998,-81.9225998,"Avery, NC",Avery
Bacon  GA,GA,Bacon ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-82.4526978,-82.4526978,"Bacon, GA",Bacon
